Combo,Comp
CancerPisces,98
TaurusGemini,33
VirgoPisces,88
PiscesAries,67
CancerAquarius,27
GeminiLeo,88
LeoTaurus,73
CapricornPisces,88
ScorpioLibra,35
TaurusPisces,85
LibraTaurus,65
TaurusVirgo,90
SagittariusAries,93
CancerVirgo,90
VirgoVirgo,65
VirgoGemini,68
CancerLibra,43
SagittariusSagittarius,45
TaurusScorpio,88
ScorpioTaurus,88
GeminiLibra,93
TaurusLibra,65
AriesAquarius,78
LibraLibra,75
SagittariusLibra,73
LibraVirgo,68
SagittariusAquarius,90
ScorpioAries,50
AriesLeo,97
CancerCancer,75
TaurusSagittarius,30
AquariusAquarius,45
LeoGemini,88
CancerScorpio,94
PiscesLibra,88
AquariusAries,78
LeoVirgo,35
VirgoAries,63
AquariusScorpio,73
GeminiVirgo,68
SagittariusVirgo,48
VirgoCancer,90
CapricornSagittarius,60
SagittariusCancer,53
ScorpioScorpio,80
PiscesSagittarius,63
PiscesTaurus,85
ScorpioPisces,97
CancerAries,42
PiscesPisces,60
CapricornAries,47
PiscesCapricorn,88
ScorpioAquarius,73
TaurusLeo,73
AriesLibra,85
ScorpioVirgo,88
LibraPisces,88
AquariusTaurus,58
AquariusLeo,68
CancerSagittarius,53
GeminiScorpio,28
PiscesScorpio,97
SagittariusTaurus,30
VirgoAquarius,30
AquariusGemini,85
LeoLibra,97
CapricornLeo,35
VirgoLeo,35
CancerLeo,35
TaurusAries,38
CapricornGemini,68
ScorpioCapricorn,95
TaurusCapricorn,98
GeminiTaurus,33
GeminiGemini,60
AriesTaurus,38
VirgoScorpio,88
TaurusCancer,97
VirgoSagittarius,48
LibraScorpio,35
GeminiAries,83
LibraCancer,43
GeminiAquarius,85
LeoSagittarius,93
LibraAquarius,90
CapricornCancer,83
AriesGemini,83
LibraGemini,93
AquariusVirgo,30
VirgoLibra,69
LibraAries,85
ScorpioSagittarius,28
GeminiCapricorn,69
PiscesCancer,98
LeoLeo,45
AriesSagittarius,93
LeoCancer,35
LeoPisces,38
AquariusCancer,27
CapricornCapricorn,75
PiscesVirgo,88
AriesCapricorn,47
LeoScorpio,58
ScorpioLeo,58
SagittariusScorpio,28
AriesVirgo,63
VirgoTaurus,90
CapricornScorpio,95
SagittariusCapricorn,60
AquariusCapricorn,69
TaurusTaurus,58
AquariusSagittarius,90
LibraSagittarius,73
SagittariusGemini,60
CapricornAquarius,69
LibraLeo,97
CapricornVirgo,95
PiscesGemini,53
PiscesAquarius,45
PiscesLeo,38
SagittariusLeo,93
AriesCancer,42
CapricornTaurus,98
GeminiPisces,53
LeoAries,97
LeoAquarius,69
ScorpioGemini,28
CancerTaurus,97
SagittariusPisces,63
AriesPisces,67
AquariusPisces,45
AriesScorpio,50
TaurusAquarius,58
AriesAries,50
ScorpioCancer,94
AquariusLibra,90
GeminiSagittarius,60
GeminiCancer,65
CancerGemini,65
CancerCapricorn,83
LibraCapricorn,55
LeoCapricorn,35
VirgoCapricorn,95
CapricornLibra,55